,frame_number,new_people_count,total_people_in_frame,cumulative,flow,coords
0,0,9,9,9,"[([0, 0], [0, 0], 1), ([0, 0], [0, 0], 2), ([0, 0], [0, 0], 3), ([0, 0], [0, 0], 4), ([0, 0], [0, 0], 5), ([0, 0], [0, 0], 6), ([0, 0], [0, 0], 7), ([0, 0], [0, 0], 8), ([0, 0], [0, 0], 9), ([0, 0], [0, 0], 10), ([0, 0], [0, 0], 11), ([0, 0], [0, 0], 12)]","[(1, 904.9949951171875, 260.06622314453125), (2, 73.68904876708984, 180.656005859375), (3, 996.6652221679688, 483.4607849121094), (4, 1148.599609375, 470.51611328125), (5, 340.09100341796875, 90.02764892578125), (6, 284.2891540527344, 113.97964477539062), (7, 345.71630859375, 242.7667236328125), (8, 284.02056884765625, 112.43988037109375), (9, 148.65567016601562, 67.98773193359375), (10, 841.32568359375, 410.6168212890625), (11, 541.7965087890625, 362.6990051269531), (12, 393.22625732421875, 13.816360473632812)]"
1,1,0,9,9,"[([1, 0], [1, 0], 1), ([0, 0], [0, 0], 2), ([0, 0], [0, 0], 3), ([0, 0], [0, 0], 4), ([0, 0], [0, 0], 5), ([0, 0], [0, 0], 6), ([0, 0], [0, 0], 7), ([0, 0], [0, 0], 8), ([0, 0], [0, 0], 9), ([0, 0], [0, 0], 10), ([0, 0], [0, 0], 11), ([0, 0], [0, 0], 12)]","[(1, 905.0089111328125, 260.06341552734375), (2, 73.68672943115234, 180.6425018310547), (3, 996.674072265625, 483.44512939453125), (4, 1148.611328125, 470.52325439453125), (5, 340.0903625488281, 90.02684783935547), (6, 284.2950439453125, 113.99020385742188), (7, 345.716552734375, 242.7659912109375), (8, 284.0198974609375, 112.43429565429688), (9, 148.65716552734375, 67.98727416992188), (10, 841.324951171875, 410.6170654296875), (11, 541.804443359375, 362.69671630859375), (12, 393.22900390625, 13.816650390625)]"
2,2,0,9,9,"[([1, 0], [1, 0], 1), ([0, 0], [0, 0], 2), ([0, 0], [0, 0], 3), ([0, 0], [0, 0], 4), ([0, 0], [0, 0], 5), ([0, 0], [0, 0], 6), ([0, 0], [0, 0], 7), ([0, 0], [0, 0], 8), ([0, 0], [0, 0], 9), ([0, 0], [0, 0], 10), ([0, 0], [0, 0], 11), ([0, 0], [0, 0], 12)]","[(1, 905.07666015625, 260.06097412109375), (2, 73.69395446777344, 180.58749389648438), (3, 996.71435546875, 483.626708984375), (4, 1148.628662109375, 470.4721984863281), (5, 340.0906982421875, 90.02720642089844), (6, 284.28466796875, 113.99261474609375), (7, 345.7149963378906, 242.76571655273438), (8, 284.0235290527344, 112.43545532226562), (9, 148.65724182128906, 67.983642578125), (10, 841.3229370117188, 410.63592529296875), (11, 541.9326782226562, 362.75042724609375), (12, 393.2197570800781, 13.805938720703125)]"
3,3,0,9,9,"[([1, 0], [1, 0], 1), ([0, 0], [0, 0], 2), ([0, 0], [0, 0], 3), ([0, 0], [0, 0], 4), ([0, 0], [0, 0], 5), ([0, 0], [0, 0], 6), ([0, 0], [0, 0], 7), ([0, 0], [0, 0], 8), ([0, 0], [0, 0], 9), ([0, 0], [0, 0], 10), ([1, 0], [1, 0], 11), ([0, 0], [0, 0], 12)]","[(1, 905.1036376953125, 260.06170654296875), (2, 73.69984436035156, 180.5706787109375), (3, 996.7264404296875, 483.68572998046875), (4, 1148.634033203125, 470.45660400390625), (5, 340.0920104980469, 90.026123046875), (6, 284.2794189453125, 113.9793701171875), (7, 345.713623046875, 242.7674102783203), (8, 284.020751953125, 112.43497467041016), (9, 148.6600799560547, 67.98243713378906), (10, 841.3236694335938, 410.63836669921875), (11, 542.009033203125, 362.78289794921875), (12, 393.2203063964844, 13.805618286132812)]"
4,4,0,9,9,"[([1, 0], [1, 0], 1), ([0, 0], [0, 0], 2), ([0, 0], [0, 0], 3), ([0, 0], [0, 0], 4), ([0, 0], [0, 0], 5), ([0, 0], [0, 0], 6), ([0, 0], [0, 0], 7), ([0, 0], [0, 0], 8), ([0, 0], [0, 0], 9), ([0, 0], [0, 0], 10), ([1, 0], [1, 0], 11), ([0, 0], [0, 0], 12)]","[(1, 905.1051635742188, 260.05743408203125), (2, 73.70012664794922, 180.55892944335938), (3, 996.734130859375, 483.69415283203125), (4, 1148.6351318359375, 470.452880859375), (5, 340.0922546386719, 90.02766418457031), (6, 284.2833557128906, 113.97359466552734), (7, 345.71356201171875, 242.76747131347656), (8, 284.0230712890625, 112.43386840820312), (9, 148.66009521484375, 67.98492431640625), (10, 841.3225708007812, 410.6410217285156), (11, 542.0185546875, 362.78802490234375), (12, 393.214599609375, 13.80084228515625)]"
5,5,0,9,9,"[([1, 0], [1, 0], 1), ([0, 0], [0, 0], 2), ([0, 0], [0, 0], 3), ([0, 0], [0, 0], 4), ([0, 0], [0, 0], 5), ([0, 0], [0, 0], 6), ([0, 0], [0, 0], 7), ([0, 0], [0, 0], 8), ([0, 0], [0, 0], 9), ([0, 0], [0, 0], 10), ([1, 0], [1, 0], 11), ([0, 0], [0, 0], 12)]","[(1, 905.0086059570312, 260.05426025390625), (2, 73.69945526123047, 180.55841064453125), (3, 996.7430419921875, 483.674560546875), (4, 1148.6400146484375, 470.4508056640625), (5, 340.0914001464844, 90.02308654785156), (6, 284.2994079589844, 114.01068115234375), (7, 345.7081298828125, 242.76889038085938), (8, 284.0204772949219, 112.44134521484375), (9, 148.66510009765625, 67.98947143554688), (10, 841.31591796875, 410.65496826171875), (11, 542.01318359375, 362.8026123046875), (12, 393.2369384765625, 13.822357177734375)]"
6,6,0,9,9,"[([1, 0], [-1, 0], 1), ([0, 0], [0, 0], 2), ([0, 0], [0, 0], 3), ([0, 0], [0, 0], 4), ([0, 0], [0, 0], 5), ([0, 0], [0, 0], 6), ([0, 0], [0, 0], 7), ([0, 0], [0, 0], 8), ([0, 0], [0, 0], 9), ([0, 0], [0, 0], 10), ([1, 0], [1, 0], 11), ([0, 0], [0, 0], 12)]","[(1, 904.9829711914062, 260.0555419921875), (2, 73.69698333740234, 180.56173706054688), (3, 996.7449951171875, 483.6636657714844), (4, 1148.640625, 470.44952392578125), (5, 340.090576171875, 90.02449035644531), (6, 284.3058776855469, 114.01544189453125), (7, 345.708740234375, 242.76919555664062), (8, 284.02099609375, 112.44512939453125), (9, 148.6685028076172, 67.9908447265625), (10, 841.3143310546875, 410.6563415527344), (11, 542.0165405273438, 362.81243896484375), (12, 393.2418212890625, 13.822784423828125)]"
7,7,0,9,9,"[([1, 0], [-1, 0], 1), ([0, 0], [0, 0], 2), ([0, 0], [0, 0], 3), ([0, 0], [0, 0], 4), ([0, 0], [0, 0], 5), ([0, 0], [0, 0], 6), ([0, 0], [0, 0], 7), ([0, 0], [0, 0], 8), ([0, 0], [0, 0], 9), ([0, 0], [0, 0], 10), ([1, 0], [1, 0], 11), ([0, 0], [0, 0], 12)]","[(1, 904.974365234375, 260.05389404296875), (2, 73.69645690917969, 180.57379150390625), (3, 996.74267578125, 483.65264892578125), (4, 1148.6416015625, 470.44989013671875), (5, 340.0908203125, 90.02267456054688), (6, 284.30462646484375, 114.01739501953125), (7, 345.70721435546875, 242.76943969726562), (8, 284.01898193359375, 112.44534301757812), (9, 148.6685333251953, 67.99191284179688), (10, 841.31396484375, 410.655029296875), (11, 542.0238037109375, 362.8009948730469), (12, 393.2403259277344, 13.824249267578125)]"
8,8,0,9,9,"[([1, 0], [-1, 0], 1), ([0, 0], [0, 0], 2), ([0, 0], [0, 0], 3), ([0, 0], [0, 0], 4), ([0, 0], [0, 0], 5), ([0, 0], [0, 0], 6), ([0, 0], [0, 0], 7), ([0, 0], [0, 0], 8), ([0, 0], [0, 0], 9), ([0, 0], [0, 0], 10), ([1, 0], [0, 0], 11), ([0, 0], [0, 0], 12)]","[(1, 904.9468994140625, 260.0545654296875), (2, 73.69412994384766, 180.55899047851562), (3, 996.739501953125, 483.6577453613281), (4, 1148.6876220703125, 470.460205078125), (5, 340.0909423828125, 90.02276611328125), (6, 284.30517578125, 114.02569580078125), (7, 345.7105712890625, 242.76986694335938), (8, 284.020751953125, 112.44021606445312), (9, 148.66928100585938, 67.99116516113281), (10, 841.312744140625, 410.6581726074219), (11, 542.0311279296875, 362.78289794921875), (12, 393.24169921875, 13.82769775390625)]"
9,9,0,9,9,"[([1, 0], [-1, 0], 1), ([0, 0], [0, 0], 2), ([0, 0], [0, 0], 3), ([0, 0], [0, 0], 4), ([0, 0], [0, 0], 5), ([0, 0], [0, 0], 6), ([0, 0], [0, 0], 7), ([0, 0], [0, 0], 8), ([0, 0], [0, 0], 9), ([0, 0], [0, 0], 10), ([1, 0], [0, 0], 11), ([0, 0], [0, 0], 12)]","[(1, 904.937255859375, 260.054931640625), (2, 73.69324493408203, 180.55389404296875), (3, 996.7379150390625, 483.6587829589844), (4, 1148.704345703125, 470.46435546875), (5, 340.09100341796875, 90.02284240722656), (6, 284.3052978515625, 114.02853393554688), (7, 345.71185302734375, 242.77000427246094), (8, 284.0213928222656, 112.43829345703125), (9, 148.66949462890625, 67.99085998535156), (10, 841.3123779296875, 410.6591796875), (11, 542.0327758789062, 362.7757568359375), (12, 393.2420654296875, 13.828887939453125)]"
